text,label
"I rated this a 3. The dubbing was as bad as I have seen. The plot - yuck. I'm not sure which ruined the movie more. Jet Li is definitely a great martial artist, but I'll stick to Jackie Chan movies until somebody tells me Jet's English is up to par.",0
"<br /><br />Cheap-looking and ugly, this film didn't even seem to entertain the kids in the audience, except for one fairly amusing toilet joke. Christopher Lloyd is way past his prime and actually quite tiresome in this role, although the sorry excuse for jokes by the writers don't help.   Elizabeth Hurley is embarrassingly amateurish in a supposedly comic role. Jeff Daniels and Darryl Hannah avoid humiliation. There is really no reason to make this movie, especially since it is unavoidable that one will compare it with Robin Williams's often brilliant improvisations in Mork & Mindy.<br /><br />",0
"This film concerns purportedly non-establishment types (aesthetically and sexually) who apparently cannot resist basic romantic needs. Although some excellent players take part, including Jon Tenney, Timothy Olyphant, and Cynthia Nixon, they are grounded by a puerile script which relies nearly totally upon clever dialogue; which isn't. Nixon's role possesses the best lines, but she often homes in on them too quickly, a timing flaw which must be saddled upon the director. The grotesque climax utilizes every available cliche, spent or not, and fittingly ends this drab attempt at comedy.",0
"Ho-hum. An inventor's(Horst Buchholz)deadly biological weapon is in danger of falling into the wrong hands. Unknowingly his son(Luke Perry)has been working on the antedote all along. Enter CIA agent Olivia d'Abo and the cat-and-mouse car chases and gunfire begins. Also in the cast are:Tom Conti, Hendrick Haese and an aging Roger Moore. Moore seems to haggardly move through this mess definitely not one of his better efforts. Perry fans will be accepting. d'Abo is wrong for the role, but nice to look at.",0
"Definitely not worth the rental, but if you catch it on cable, you'll be pleasantly surprised by the cameos--Iman's appearance is especially self-deprecating. It's also an opportunity to watch all the male supporting cast members from The Sopranos typecast themselves.",0
"Only children below the age of 12 should be allowed to see this film. The rest of us should take a book, MP3 player, or just take a nice nap to endure the experience of this event. This can be best summed up as a ""blown-up"" TV movie being distributed into theaters. Children will want to see this film, and they will like and be amused by the movie.",0
"NATIONAL LAMPOON'S CLASS REUNION was a flop when it was released. It didn't stay long in theaters in my big city. Why? Because it's BAD!!!!!<br /><br />Not bad in a good way but bad in a really painfully unfunny way. The entire cast of actors were mostly unknowns then and have remained unknowns after this turkey.<br /><br />The idea is actually great (a parody of slasher flicks) but the execution is sorely lacking in every aspect. <br /><br />Just avoid this ""comedy"". Your time is more precious than spending a nanosecond watching this embarrassing misfire.",0
"I just watched this movie. In one word: sucky! The story is bad, the acting is, if possible, even worse. The movie has one or two nice moments, but thats it and having those two small good moments, doesn't make up for anything in between, before or after those moments. A montrocity of a movie, not even worth watching on tv...",0
"Apart from Helen Bonham Carter, there is nothing worthy about this movie....And the surprise ending?! The thought of a sequel is even more annoying. Save your money, wait for the video and ignore that too.",0
"This sci-fi adventure is not the best and by no means the worst. I agree with the statement that bad sci-fi is comical. Bizarre pink tinting and unusual special effects make this a favorite for the late, late, late show viewers. Space explorers on the planet Mars fight off strange giant amoeba-like monsters and other strange creatures. Pretty cool.<br /><br />The cast includes Les Tremayne, Naura Hayden, Gerald Mohr and Jack Kruschen. Get comfy and enjoy. Don't feel bad if you nod off for a moment. I agree with adding this to the list of cult classics to not miss.",0
